partner_covid_pin,ccdph_provider,partner_zip,partner_name,partner_street,partner_city,partner_state,partner_clean_street,partner_clean_name,vtrcks_name,vtrcks_provider_number,vtrcks_covid_pin,vtrcks_street,vtrcks_city,vtrcks_zip,vtrcks_state,vtrcks_clean_street,vtrcks_clean_name,icare_name,icare_id,icare_covid_pin,icare_street,icare_city,icare_state,icare_zip,icare_clean_street,icare_clean_name,vfinder_name,vfinder_covid_pin,vfinder_provider_number,vfinder_street,vfinder_city,vfinder_zip,vfinder_state,vfinder_clean_street,vfinder_clean_name,covid_pin,city,street,state,zip,in_icare,in_vfinder,in_vtrcks,name,in_partner,address,lon,lat
V09144,TRUE,60305,JEWEL OSCO 3223,7523 LAKE ST,RIVER FOREST,IL,7523 LAKE ST,JEWEL-OSCO PHARMACY STORE #3223,OSCO PHARMACY,40169549,AB1003223,7523 LAKE ST,RIVER FOREST,60305,IL,7523 LAKE ST,JEWEL-OSCO PHARMACY STORE #3223,NA,NA,NA,NA,NA,NA,NA,NA,NA,JEWEL-OSCO PHARMACY STORE #3223,AB1003223,40169549,7523 LAKE ST,RIVER FOREST,60305,IL,7523 LAKE ST,JEWEL-OSCO PHARMACY STORE #3223,AB1003223,RIVER FOREST,7523 LAKE ST,IL,60305,FALSE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3223,TRUE,"7523 LAKE ST RIVER FOREST, IL 60305",-87.81315769999999,41.8882754
NA,TRUE,60193,JEWEL OSCO 4308,1151 S ROSELLE RD,SCHAUMBURG,IL,1151 S ROSELLE RD,JEWEL-OSCO PHARMACY STORE #4308,OSCO PHARMACY,40169852,AB1004308,1151 S. ROSELLE RD.,SCHAUMBURG,60193,IL,1151 S ROSELLE RD,JEWEL-OSCO PHARMACY STORE #4308,JEWEL-OSCO - 3308,404883900,NA,1151 S ROSELLE RD,SCHAUMBURG,IL,60193,1151 S ROSELLE RD,"	
JEWEL-OSCO PHARMACY STORE #3308",JEWEL-OSCO PHARMACY STORE #4308,AB1004308,40169852,1151 S. ROSELLE RD.,SCHAUMBURG,60193,IL,1151 S ROSELLE RD,JEWEL-OSCO PHARMACY STORE #4308,AB1004308,SCHAUMBURG,1151 S ROSELLE RD,IL,60193,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #4308,TRUE,"1151 S ROSELLE RD SCHAUMBURG, IL 60193",-88.0780147,42.0063103
V09553,TRUE,60154,JEWEL OSCO 4228,2128 S. MANHEIM ROAD,WESTCHESTER,IL,2128 S MANHEIM RD,JEWEL-OSCO PHARMACY STORE #4228,JEWEL-OSCO - 4228,40235459,ILAV09539,2128 S MANNHEIM RD,WESTCHESTER,60154,IL,2128 S MANNHEIM RD,JEWEL-OSCO PHARMACY STORE #4228,JEWEL-OSCO - 3228,404898723,V09539,2128 S MANNHEIM RD,WESTCHESTER,IL,60154,2128 S MANNHEIM RD,"	
JEWEL-OSCO PHARMACY STORE #3228",JEWEL-OSCO PHARMACY STORE #4228,AB1004228,40169832,2128 S. MANNHEIM RD.,WESTCHESTER,60154,IL,2128 S MANNHEIM RD,JEWEL-OSCO PHARMACY STORE #4228,AB1004228,WESTCHESTER,2128 S MANNHEIM RD,IL,60154,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #4228,TRUE,"2128 S MANNHEIM RD WESTCHESTER, IL 60154",-87.8821304,41.8497757
V09339,TRUE,60091,JEWEL OSCO 3456,411 GREEN BAY ROAD,WILMETTE,IL,411 GREEN BAY RD,JEWEL-OSCO PHARMACY STORE #3456,JEWEL-OSCO - 3456,40228642,ILAV09339,411 GREEN BAY RD,WILMETTE,60091,IL,411 GREEN BAY RD,JEWEL-OSCO PHARMACY STORE #3456,JEWEL-OSCO - 3456,404890679,V09339,411 GREEN BAY RD,WILMETTE,IL,60091,411 GREEN BAY RD,"	
JEWEL-OSCO PHARMACY STORE #3456",JEWEL-OSCO PHARMACY STORE #3456,AB1003456,40169640,411 GREEN BAY RD,WILMETTE,60091,IL,411 GREEN BAY RD,JEWEL-OSCO PHARMACY STORE #3456,AB1003456,WILMETTE,411 GREEN BAY RD,IL,60091,TRUE,TRUE,TRUE,JEWEL-OSCO PHARMACY STORE #3456,TRUE,"411 GREEN BAY RD WILMETTE, IL 60091",-87.7062863,42.0724759
V09154,TRUE,60153,LOYOLA UNIVERSITY MEDICAL CENTER,2160 S 1ST AVE,MAYWOOD,IL,2160 S 1ST AVE,LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY MEDICAL CENTER,40203145,ILAV09154,2160 S 1ST AVE,MAYWOOD,60153,IL,2160 S 1ST AVE,LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY MEDICAL CENTER,617309512,V09154,2160 S 1ST AVE,MAYWOOD,IL,60153,2160 S 1ST AVE,LOYOLA UNIVERSITY MEDICAL CENTER,LOYOLA UNIVERSITY MEDICAL CENTER,ILAV09154A,40203145,2160 S 1ST AVE,MAYWOOD,60153,IL,2160 S 1ST AVE,LOYOLA UNIVERSITY MEDICAL CENTER,ILAV09154A,MAYWOOD,2160 S 1ST AVE,IL,60153,TRUE,TRUE,TRUE,LOYOLA UNIVERSITY MEDICAL CENTER,TRUE,"2160 S 1ST AVE MAYWOOD, IL 60153",-87.83334099999999,41.8598649
V09268,TRUE,60104,OAK STREET HEALTH BELLWOOD,456 25TH AVE,BELLWOOD,IL,456 25TH AVE,OAK STREET HEALTH BELLWOOD,NA,NA,NA,NA,NA,NA,NA,NA,NA,OAK STREET HEALTH BELLWOOD,1226239232,V09268,456 25TH AVE,BELLWOOD,IL,60104,456 25TH AVE,OAK STREET HEALTH BELLWOOD,OAK STREET HEALTH BELLWOOD,ILAV09268A,40218745,456 25TH AVE,BELLWOOD,60104,IL,456 25TH AVE,OAK STREET HEALTH BELLWOOD,ILAV09268A,BELLWOOD,456 25TH AVE,IL,60104,TRUE,TRUE,FALSE,OAK STREET HEALTH BELLWOOD,TRUE,"456 25TH AVE BELLWOOD, IL 60104",-87.86463309999999,41.8842918
V09270,TRUE,60402,OAK STREET HEALTH BERWYN,7000 CERMAK RD,BERWYN,IL,7000 CERMAK RD,OAK STREET HEALTH BERWYN,NA,NA,NA,NA,NA,NA,NA,NA,NA,OAK STREET HEALTH BERWYN,812152379,V09270,7000 CERMAK RD,BERWYN,IL,60402,7000 CERMAK RD,OAK STREET HEALTH BERWYN,OAK STREET HEALTH BERWYN,ILAV09270A,40219604,7000 CERMAK RD,BERWYN,60402,IL,7000 CERMAK RD,OAK STREET HEALTH BERWYN,ILAV09270A,BERWYN,7000 CERMAK RD,IL,60402,TRUE,TRUE,FALSE,OAK STREET HEALTH BERWYN,TRUE,"7000 CERMAK RD BERWYN, IL 60402",-87.79870799999999,41.8507577
V09269,TRUE,60406,OAK STREET HEALTH BLUE ISLAND,3076 W 127TH ST,BLUE ISLAND,IL,3076 W 127TH ST,OAK STREET HEALTH BLUE ISLAND,OAK STREET HEALTH BLUE ISLAND,40218746,ILAV09269,3046 BURR OAK AVE,BLUE ISLAND,60406,IL,3046 BURR OAK AVE,OAK STREET HEALTH BLUE ISLAND,OAK STREET HEALTH BLUE ISLAND,812154611,V09269,3046 W 127TH ST,BLUE ISLAND,IL,60406,3046 W 127TH ST,OAK STREET HEALTH BLUE ISLAND,OAK STREET HEALTH BLUE ISLAND,ILAV09269A,40218746,3046 W 127TH ST,BLUE ISLAND,60406,IL,3046 W 127TH ST,OAK STREET HEALTH BLUE ISLAND,ILAV09269A,BLUE ISLAND,3046 W 127TH ST,IL,60406,TRUE,TRUE,TRUE,OAK STREET HEALTH BLUE ISLAND,TRUE,"3046 W 127TH ST BLUE ISLAND, IL 60406",-87.6955904,41.66281790000001
V02362,TRUE,60525,PILLARS COMMUNITY HEALTH,110 W CALENDAR AVE,LA GRANGE,IL,110 W CALENDAR AVE,PILLARS COMMUNITY HEALTH,PILLARS COMMUNITY HEALTH,40204426,ILAV02362,110 W CALENDAR AVE,LA GRANGE,60525,IL,110 W CALENDAR AVE,PILLARS COMMUNITY HEALTH,PILLARS COMMUNITY HEALTH,203093343,V02362,110 W CALENDAR AVE,LA GRANGE,IL,60525,110 W CALENDAR AVE,PILLARS COMMUNITY HEALTH,PILLARS COMMUNITY HEALTH,ILAV02362A,40204426,110 W CALENDAR AVE,LA GRANGE,60525,IL,110 W CALENDAR AVE,PILLARS COMMUNITY HEALTH,ILAV02362A,LA GRANGE,110 W CALENDAR AVE,IL,60525,TRUE,TRUE,TRUE,PILLARS COMMUNITY HEALTH,TRUE,"110 W CALENDAR AVE LA GRANGE, IL 60525",-87.87135699999999,41.8144
V09503,TRUE,60804,PRISM HEALTH LAB CICERO,1845 S LARAMIE AVE,CICERO,IL,1845 S LARAMIE AVE,PRISM HEALTH LAB CICERO,PRISM HOLISTIC CARE LTD. PRISM HEALTH,40234518,ILAV09503,1845 S LARAMIE AVE,CICERO,60804,IL,1845 S LARAMIE AVE,PRISM HOLISTIC CARE LTD. PRISM HEALTH,"PRISM HOLISTIC CARE LTD., PRISM HEALTH",1340212029,V09503,1845 S LARAMIE AVE,CICERO,IL,60804,1845 S LARAMIE AVE,"PRISM HOLISTIC CARE LTD., PRISM HEALTH",PRISM HEALTH LAB CICERO,ILAv09503A,40234518,1845 S LARAMIE AVE,CICERO,60804,IL,1845 S LARAMIE AVE,PRISM HEALTH LAB CICERO,ILAv09503A,CICERO,1845 S LARAMIE AVE,IL,60804,TRUE,TRUE,TRUE,PRISM HEALTH LAB CICERO,TRUE,"1845 S LARAMIE AVE CICERO, IL 60804",-87.753828,41.854991
